as_of,signal,n_pairs,mean_rs,fx_tilt,agg,cost,kr_return,us_return,blend_return,strategy_return
2019-05-31,US,4,-0.03813,0.9753,-0.02084,0.0,0.0435,0.0689,0.0562,0.0689
2019-06-28,US,4,-0.09004,0.4606,-0.06027,0.0,-0.0498,0.0131,-0.0183,0.0131
2019-07-31,US,4,-0.11559,0.5572,-0.07757,0.0,-0.028,-0.0181,-0.0231,-0.0181
2019-08-30,US,4,-0.09819,0.3952,-0.06636,0.0,0.0484,0.0172,0.0328,0.0172
2019-09-30,US,4,-0.06867,0.8713,-0.04284,0.0,0.0099,0.0204,0.0152,0.0204
2019-10-31,US,4,-0.04133,-0.4451,-0.0316,0.0,0.0022,0.034,0.0181,0.034
2019-11-29,US,4,-0.04239,-0.7377,-0.0341,0.0,0.0525,0.0256,0.0391,0.0256
2019-12-31,US,4,-0.0405,-0.8156,-0.03324,0.0,-0.0258,-0.0099,-0.0179,-0.0099
2020-01-31,US,4,-0.05328,0.7142,-0.03301,0.0,-0.0623,-0.0841,-0.0732,-0.0841
2020-02-28,US,4,0.00491,0.6072,0.00708,0.0,-0.1169,-0.1251,-0.121,-0.1251
2020-03-31,KR,4,0.05226,0.9295,0.04216,0.003,0.1099,0.1268,0.1184,0.1069
2020-04-30,KR,4,0.03773,0.6107,0.03007,0.0,0.0708,0.0453,0.0581,0.0708
2020-05-29,KR,4,0.03551,0.7009,0.02906,0.0,0.0388,0.0184,0.0286,0.0388
2020-06-30,KR,4,0.02481,-0.5907,0.01382,0.0,0.0669,0.0551,0.061,0.0669
2020-07-31,KR,4,0.0449,-0.4867,0.02851,0.0,0.0341,0.0701,0.0521,0.0341
2020-08-31,KR,4,0.04245,-0.8271,0.02475,0.0,0.0007,-0.0392,-0.0192,0.0007
2020-09-30,KR,4,0.07605,-0.7454,0.04876,0.0,-0.0385,-0.0277,-0.0331,-0.0385
2020-10-30,KR,4,0.0785,-0.9031,0.04953,0.0,0.143,0.1075,0.1253,0.143
2020-11-30,KR,4,0.03734,-0.9647,0.02035,0.0,0.1089,0.0371,0.073,0.1089
2020-12-31,KR,4,0.06854,-0.9799,0.0421,0.0,0.0108,-0.0111,-0.0002,0.0108
2021-01-29,KR,4,0.09401,-0.3508,0.0637,0.0,0.0123,0.0261,0.0192,0.0123
2021-02-26,KR,4,-0.00555,0.5023,-0.00087,0.0,0.0161,0.0424,0.0293,0.0161
2021-03-31,KR,4,-0.01075,0.8649,-0.00233,0.0,0.0282,0.0524,0.0403,0.0282
2021-04-30,US,4,-0.03241,-0.0143,-0.02277,0.003,0.0178,0.0055,0.0116,0.0025
2021-05-31,US,4,-0.02462,-0.4726,-0.02007,0.0,0.029,0.0227,0.0258,0.0227
2021-06-30,US,4,-0.02476,-0.062,-0.0177,0.0,-0.0286,0.0227,-0.0029,0.0227
2021-07-30,US,4,-0.07843,0.7707,-0.05028,0.0,-0.001,0.029,0.014,0.029
2021-08-31,US,4,-0.05996,0.9172,-0.03647,0.0,-0.0408,-0.0476,-0.0442,-0.0476
2021-09-30,US,4,-0.04189,0.9194,-0.0238,0.0,-0.032,0.0691,0.0186,0.0691
2021-10-29,US,4,-0.13531,0.7231,-0.09038,0.0,-0.0443,-0.0083,-0.0263,-0.0083
2021-11-30,US,4,-0.13704,0.4822,-0.09303,0.0,0.0488,0.0436,0.0462,0.0436
2021-12-31,US,4,-0.13176,0.1046,-0.09161,0.0,-0.109,-0.0526,-0.0808,-0.0526
2022-01-31,US,4,-0.1755,0.6942,-0.11869,0.0,-0.0032,-0.0314,-0.0173,-0.0314
2022-02-28,US,4,-0.10758,0.1575,-0.07436,0.0,0.0217,0.0358,0.0287,0.0358
