name,pairs_key,w_fx,fx_source,tau,train_sharpe,train_cagr,train_mdd,test_sharpe,test_cagr,test_mdd,full_sharpe,full_cagr,full_mdd
drop_DISCR_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.61,0.0706,-0.1585,1.06,0.2589,-0.2477,0.83,0.1584,-0.2477
drop_ENERGY_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.61,0.0752,-0.1585,0.8,0.1977,-0.3196,0.69,0.133,-0.3196
drop_IT_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.61,0.0717,-0.1585,0.97,0.238,-0.2477,0.78,0.1495,-0.2477
drop_IT_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.61,0.0717,-0.1585,0.92,0.2254,-0.2477,0.75,0.1438,-0.2477
drop_IT_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.61,0.0717,-0.1585,0.97,0.2383,-0.2477,0.78,0.1497,-0.2477
drop_IT_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.61,0.0717,-0.1585,1.02,0.2499,-0.2477,0.81,0.1549,-0.2477
drop_STAPLES_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.61,0.0737,-0.1777,0.84,0.2089,-0.3196,0.71,0.1374,-0.3196
drop_DISCR_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.6,0.0693,-0.1433,1.02,0.2509,-0.2477,0.8,0.154,-0.2477
drop_IT_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.59,0.0688,-0.1585,1.02,0.2499,-0.2477,0.8,0.1533,-0.2477
drop_IT_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.59,0.0688,-0.1585,1.02,0.2499,-0.2477,0.8,0.1533,-0.2477
drop_IT_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.59,0.0688,-0.1585,0.97,0.238,-0.2477,0.77,0.1479,-0.2477
drop_ENERGY_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_IT_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.59,0.0688,-0.1585,0.97,0.239,-0.2477,0.77,0.1484,-0.2477
drop_STAPLES_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.58,0.0696,-0.1933,0.84,0.2089,-0.3196,0.7,0.1352,-0.3196
drop_DISCR_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.58,0.0664,-0.1433,1.02,0.2509,-0.2477,0.8,0.1524,-0.2477
Full5_w20_dxy_tau0.015,Full5,0.2,dxy,0.015,0.58,0.0685,-0.1585,0.88,0.2202,-0.3196,0.72,0.1397,-0.3196
drop_ENERGY_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.57,0.0656,-0.1585,0.8,0.1966,-0.3196,0.67,0.1274,-0.3196
drop_DISCR_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.56,0.0657,-0.1556,1.02,0.2503,-0.2477,0.79,0.1517,-0.2477
drop_ENERGY_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.55,0.0656,-0.1585,0.73,0.1812,-0.3196,0.62,0.1203,-0.3196
drop_ENERGY_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.55,0.0628,-0.1581,0.8,0.2027,-0.3196,0.66,0.1286,-0.3196
drop_ENERGY_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.55,0.0628,-0.1581,0.73,0.181,-0.3196,0.62,0.1187,-0.3196
drop_ENERGY_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.55,0.0628,-0.1581,0.73,0.1807,-0.3196,0.62,0.1185,-0.3196
drop_ENERGY_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.55,0.0628,-0.1581,0.73,0.1807,-0.3196,0.62,0.1185,-0.3196
drop_ENERGY_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.54,0.0634,-0.1585,0.8,0.1977,-0.3196,0.66,0.1267,-0.3196
drop_DISCR_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.54,0.0639,-0.1585,1.02,0.2509,-0.2477,0.79,0.151,-0.2477
drop_DISCR_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.54,0.0628,-0.1556,1.02,0.2509,-0.2477,0.78,0.1504,-0.2477
drop_FIN_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.54,0.0644,-0.1585,0.97,0.2383,-0.2477,0.76,0.1456,-0.2477
Full5_w00_usdkrw_tau0.015,Full5,0.0,none,0.015,0.53,0.0633,-0.1752,0.89,0.2202,-0.3196,0.71,0.1369,-0.3196
Full5_w20_usdkrw_tau0.015,Full5,0.2,usdkrw,0.015,0.53,0.0633,-0.1752,0.89,0.2202,-0.3196,0.71,0.1369,-0.3196
Full5_w30_dxy_tau0.015,Full5,0.3,dxy,0.015,0.53,0.0633,-0.1773,0.85,0.2134,-0.3196,0.69,0.1338,-0.3196
Full5_w30_usdkrw_tau0.015,Full5,0.3,usdkrw,0.015,0.53,0.0633,-0.1752,0.89,0.222,-0.3196,0.71,0.1377,-0.3196
Full5_w00_usdkrw_tau0.020,Full5,0.0,none,0.02,0.53,0.0633,-0.1773,0.86,0.2135,-0.3196,0.69,0.1338,-0.3196
drop_ENERGY_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.52,0.0603,-0.1585,0.75,0.1854,-0.3196,0.62,0.1193,-0.3196
drop_IT_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.51,0.0613,-0.1897,0.9,0.2205,-0.2477,0.71,0.1359,-0.2477
drop_IT_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.51,0.0613,-0.1897,0.92,0.2254,-0.2477,0.72,0.1381,-0.2477
drop_IT_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.51,0.0613,-0.1897,0.92,0.2254,-0.2477,0.72,0.1381,-0.2477
drop_IT_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.51,0.0613,-0.1897,0.92,0.2247,-0.2477,0.72,0.1378,-0.2477
drop_STAPLES_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.51,0.0599,-0.1828,0.84,0.2089,-0.3196,0.67,0.1299,-0.3196
drop_IT_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.5,0.0606,-0.1845,0.93,0.2288,-0.2477,0.72,0.1393,-0.2477
drop_STAPLES_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.49,0.0579,-0.1933,0.84,0.2089,-0.3196,0.67,0.1288,-0.3196
drop_ENERGY_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.48,0.0568,-0.1585,0.82,0.2024,-0.3196,0.65,0.1252,-0.3196
drop_ENERGY_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.48,0.0568,-0.1585,0.8,0.1977,-0.3196,0.64,0.123,-0.3196
