as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2019-09-30,8,-0.0509,0.125,-0.375,0.03818,US,US,KR,0.0,0.0,0.0,0.0099,0.0204,0.0204,0.0204,0.0099,0.0152
2019-10-31,8,-0.02712,0.375,-0.125,0.00678,US,US,KR,0.0,0.0,0.0,0.0022,0.034,0.034,0.034,0.0022,0.0181
2019-11-29,8,-0.04545,0.0,-0.5,0.04545,US,US,KR,0.0,0.0,0.0,0.0525,0.0256,0.0256,0.0256,0.0525,0.0391
2019-12-31,8,-0.03143,0.25,-0.25,0.01571,US,US,KR,0.0,0.0,0.0,-0.0258,-0.0099,-0.0099,-0.0099,-0.0258,-0.0179
2020-01-31,8,-0.04986,0.25,-0.25,0.02493,US,US,KR,0.0,0.0,0.0,-0.0623,-0.0841,-0.0841,-0.0841,-0.0623,-0.0732
2020-02-28,8,-0.01058,0.5,0.0,-0.0,US,US,KR,0.0,0.0,0.0,-0.1169,-0.1251,-0.1251,-0.1251,-0.1169,-0.121
2020-03-31,8,0.03494,0.375,-0.125,-0.00873,KR,US,KR,0.003,0.0,0.0,0.1099,0.1268,0.1069,0.1268,0.1099,0.1184
2020-04-30,8,0.02752,0.75,0.25,0.01376,KR,KR,KR,0.0,0.003,0.0,0.0708,0.0453,0.0708,0.0678,0.0708,0.0581
2020-05-29,8,0.0328,0.625,0.125,0.0082,KR,KR,KR,0.0,0.0,0.0,0.0388,0.0184,0.0388,0.0388,0.0388,0.0286
2020-06-30,8,0.03938,0.5,0.0,0.0,KR,KR,KR,0.0,0.0,0.0,0.0669,0.0551,0.0669,0.0669,0.0669,0.061
2020-07-31,8,0.05062,0.375,-0.125,-0.01266,KR,KR,US,0.0,0.0,0.003,0.0341,0.0701,0.0341,0.0341,0.0671,0.0521
2020-08-31,8,0.05045,0.375,-0.125,-0.01261,KR,KR,US,0.0,0.0,0.0,0.0007,-0.0392,0.0007,0.0007,-0.0392,-0.0192
2020-09-30,8,0.06127,0.75,0.25,0.03064,KR,KR,KR,0.0,0.0,0.003,-0.0385,-0.0277,-0.0385,-0.0385,-0.0415,-0.0331
2020-10-30,8,0.046,0.5,0.0,0.0,KR,KR,KR,0.0,0.0,0.0,0.143,0.1075,0.143,0.143,0.143,0.1253
2020-11-30,8,0.03291,0.5,0.0,0.0,KR,KR,KR,0.0,0.0,0.0,0.1089,0.0371,0.1089,0.1089,0.1089,0.073
2020-12-31,8,0.05187,0.75,0.25,0.02594,KR,KR,KR,0.0,0.0,0.0,0.0108,-0.0111,0.0108,0.0108,0.0108,-0.0002
2021-01-29,8,0.08225,0.75,0.25,0.04113,KR,KR,KR,0.0,0.0,0.0,0.0123,0.0261,0.0123,0.0123,0.0123,0.0192
2021-02-26,8,0.00789,0.625,0.125,0.00197,KR,KR,KR,0.0,0.0,0.0,0.0161,0.0424,0.0161,0.0161,0.0161,0.0293
2021-03-31,8,-0.00509,0.5,0.0,-0.0,KR,KR,KR,0.0,0.0,0.0,0.0282,0.0524,0.0282,0.0282,0.0282,0.0403
